lat,lon,cluster_id
-1.955373424962118,30.051750956762927,1
-1.9369574605229714,30.06744504380569,1
-1.941258618923546,30.049017708527835,1
-1.928110740577791,30.062531105387286,1
-1.9417200393554594,30.067936991372978,0
-1.9314269474454917,30.063040873424796,0
-1.9584777413958223,30.058806388152668,1
-1.951905105652472,30.053642795846148,1
-1.9425202592274649,30.066983766472323,0
-1.9406203720500619,30.049660479423302,1
-1.9498557709357132,30.05804014199457,1
-1.9527020631833312,30.049618727319668,1
-1.9525176394573074,30.047903296808087,1
-1.9284623713529605,30.061606180157707,1
-1.9312342786951804,30.054211841926715,1
-1.9285688639405922,30.061146857202313,1
-1.9295557744453031,30.05631047449742,0
-1.947483237455604,30.076598878077125,0
-1.9495231149413346,30.057441671049624,0
-1.9511449691478382,30.04974432973578,1
-1.9544199880057544,30.05338417102898,0
-1.940663372083225,30.07807424307606,1
-1.948907353952245,30.049326351340948,1
-1.955499942484262,30.048701487949387,1
-1.940030896233192,30.063166202672573,0
-1.961202453618856,30.056506545814067,0
-1.9418616058266014,30.054437516666674,0
-1.9428085025195305,30.0555507334353,0
-1.927865169649518,30.0607920005828,1
-1.950776084469005,30.078217215172632,0
-1.9459841397132345,30.045092965078407,1
-1.9287497313572726,30.06866370497504,1
-1.9453480400564367,30.04936882069058,1
-1.9521945146158752,30.05479848471069,1
-1.9317831081692258,30.071895660001843,1
-1.9598933407445054,30.069879239033103,0
-1.9442904415678253,30.0681594786708,0
-1.9379238092211908,30.053525373542563,1
-1.931892936177532,30.05705081593326,1
-1.9560121324100272,30.051155046228466,1
-1.9464366046734278,30.051253889435323,1
-1.9479272794945715,30.06854913715939,0
-1.9419987506413918,30.054483153192255,1
-1.9585313630930585,30.07013667034169,0
-1.9422764601458482,30.068736739664647,1
-1.9380653513474961,30.073716286126203,0
-1.9441571622067075,30.05044437159956,1
-1.9333374279792626,30.063689347362224,1
-1.9399437472316186,30.06527860063207,1
-1.945734701743186,30.051487138663777,1
-1.9611185226008099,30.05653017839424,0
-1.950433386708601,30.049752964222982,1
-1.950855720461626,30.049668028719747,1
-1.9468119130325412,30.046127576274046,1
-1.9396408259135827,30.074946467895423,1
-1.9609172720653079,30.06779823965334,0
-1.9428686265077193,30.069201077885513,0
-1.9476351267286625,30.047571226399732,1
-1.9273385619213748,30.05970628795764,1
-1.9573307210339155,30.067629289766867,0
-1.9432319994160467,30.069324419793332,1
-1.9399113468752631,30.065800126153395,1
-1.9603796869512224,30.067302097231153,2
-1.9509860317703318,30.04825884055569,1
-1.9370698638087258,30.07195970882364,0
-1.9561032887911296,30.055004137549215,1
-1.940223204749816,30.065991347808833,1
-1.9578272181988636,30.0583995260909,1
-1.95472610193586,30.05275828985577,1
-1.9336199210479816,30.062747577683393,1
-1.931018700982064,30.05705460421038,1
-1.9401327707014144,30.060925456789107,0
-1.9467645769490414,30.05431488735151,1
-1.9479681909905766,30.04904765853246,1
-1.9376695695391473,30.059496502987777,0
-1.9356123056601917,30.074827648756646,2
-1.958307118518508,30.065355193635785,0
-1.9357503304558354,30.065495240601383,1
-1.9489087010821868,30.04848384084389,1
-1.9583414026881791,30.058168115264422,1
-1.9300680907231629,30.0536692996649,0
-1.9482894326650335,30.063744862962373,0
-1.9461333428089134,30.05899694842319,0
-1.940455228964709,30.05466886965454,1
-1.949483766129445,30.04559963145211,1
-1.947779655862604,30.057177844280233,0
-1.931051399067199,30.068350670691977,1
-1.9492534534424895,30.047354225694484,1
-1.950464479728943,30.054867423737722,1
-1.944946752794062,30.07952547116406,0
-1.948160705518587,30.052425600804792,0
-1.9590633998473141,30.06510938258964,0
-1.9418703004237732,30.064975917332323,0
-1.9419999821782847,30.06460701849336,0
-1.9402238963894731,30.064213044937006,0
-1.9491126390621816,30.04846959084054,1
-1.9491349892211667,30.047517695017312,1
-1.9498986114934138,30.046405267573014,1
-1.939822171559879,30.052495932785305,0
-1.936819913797431,30.06174992743287,0
-1.953708651969767,30.053224115258494,0
-1.948627433663947,30.059078922260206,0
-1.9365292966658216,30.05364863048918,1
-1.9378750586355915,30.072637665993813,0
-1.9455260612999268,30.046183782145402,0
-1.9463299629649229,30.045023183926194,1
-1.940166131422374,30.076025920181326,0
-1.9409155321705271,30.077259050708754,0
-1.9296834681207289,30.05436633534761,1
-1.927089811930346,30.057689226802115,1
-1.9422177811362449,30.050645680801107,1
-1.950740861845323,30.053739184543208,1
-1.9367302511753626,30.074060435489915,1
-1.9288776196564839,30.054874228048224,1
-1.9571695236503943,30.058874497109688,0
-1.9502445494152,30.046822280482214,1
-1.9325885843852741,30.073953542314406,0
-1.9527319264175922,30.049455340089953,1
-1.9440748019430565,30.069762111108925,0
-1.9518205479712518,30.053398736129626,1
-1.9377323105104407,30.06457474784706,0
-1.9265705957523536,30.064959014852608,0
-1.9584566549594395,30.061089218075132,2
-1.9608292578336837,30.06143788647371,2
-1.9542424956381863,30.048939248146002,1
-1.9330811586274748,30.064117219413454,1
-1.9436730498314791,30.0505991478287,1
-1.9270043881919856,30.061529544621827,1
