building_id,lat,lon,slope,cluster_id
KGL-00071,-1.9268360711558554,30.06226709664565,7.9305315017700195,1
KGL-00072,-1.938068452114372,30.051841276082627,7.436680316925049,0
KGL-00073,-1.9355103281336616,30.06986155839062,9.890737533569336,1
KGL-00074,-1.9461948805623697,30.07827585840519,6.659271717071533,1
KGL-00075,-1.9536185823998922,30.054158439328198,9.200401306152344,1
KGL-00076,-1.940767352811826,30.05147160656283,9.766855239868164,1
KGL-00077,-1.9595118799672517,30.058928190205336,6.5336432456970215,1
KGL-00078,-1.9514569363951564,30.056265130444615,7.383094787597656,0
KGL-00079,-1.948342784523109,30.057423578979943,10.263263702392578,0
KGL-00080,-1.9335015718910142,30.07022227864754,1.3118146657943726,2
KGL-00081,-1.9533167357927845,30.068657541495817,3.8186099529266357,2
KGL-00082,-1.9384332820396184,30.072340565266057,10.460987091064453,0
KGL-00083,-1.9413375589218165,30.0788886802395,9.463393211364746,1
KGL-00084,-1.9609908962490255,30.05974663827956,10.263324737548828,1
KGL-00085,-1.9477891737526933,30.046952322342314,6.198225498199463,1
KGL-00086,-1.9590165890863693,30.0627487503726,4.628337383270264,2
KGL-00087,-1.9317666468096828,30.072000269407116,3.340909719467163,0
KGL-00088,-1.9618227057611102,30.061292395328024,1.8554210662841797,2
KGL-00089,-1.9405399692162446,30.076656336908673,6.530005931854248,0
KGL-00090,-1.9560008636022443,30.05462807684668,17.45758628845215,1
KGL-00091,-1.9558623724624342,30.068744337713287,9.76616382598877,0
KGL-00092,-1.9378170699040658,30.059471379463933,10.457743644714355,0
KGL-00093,-1.9333592360152252,30.06496254533098,10.694872856140137,1
KGL-00094,-1.9319683610177145,30.05449095978301,6.464860916137695,1
KGL-00095,-1.937079400111776,30.06778086905617,11.181663513183594,1
KGL-00096,-1.9466413152912334,30.05613788184435,5.919776439666748,0
KGL-00097,-1.951445006068655,30.053677975672574,18.785245895385742,1
KGL-00098,-1.9614366909490348,30.05965743466353,10.264314651489258,1
KGL-00099,-1.935598559050249,30.070922459910747,6.5317792892456055,0
KGL-00100,-1.940339767155887,30.05964284261285,13.88161849975586,0
KGL-00101,-1.9473162260118533,30.04746782940702,10.694937705993652,1
KGL-00102,-1.9533282117575457,30.05595653780355,11.890690803527832,1
KGL-00103,-1.9536058943028094,30.048594338228213,20.687467575073242,1
KGL-00104,-1.9504598790751277,30.047184329094478,15.007143020629883,1
KGL-00105,-1.9562030607676708,30.070027548649186,7.439866542816162,0
KGL-00106,-1.95766586094392,30.056296425862605,16.013595581054688,1
KGL-00107,-1.9446968854203177,30.044943978002397,9.59309196472168,0
KGL-00108,-1.9414057080913634,30.051330638507,9.197014808654785,1
KGL-00109,-1.9553974207963092,30.056740354419084,22.0896053314209,1
KGL-00110,-1.9374521602409358,30.067915805865745,11.645356178283691,0
KGL-00111,-1.9536783044099533,30.056938897783805,23.750076293945312,0
KGL-00112,-1.9584060931299565,30.055137241105466,6.660769462585449,1
KGL-00113,-1.9501780685989345,30.04750795620934,16.083240509033203,1
KGL-00114,-1.9511478419444566,30.062262516064926,6.2003679275512695,2
KGL-00115,-1.9561909818212058,30.05312817079077,6.660764217376709,1
KGL-00116,-1.9410150128231098,30.076494928073043,8.239413261413574,0
KGL-00117,-1.960880708018884,30.057476874678493,16.99100112915039,0
KGL-00118,-1.9478852452585838,30.053592038990043,19.993152618408203,1
KGL-00119,-1.9390735978322717,30.062078546528035,19.167930603027344,1
KGL-00120,-1.955512914248425,30.066998874032063,10.102338790893555,0
KGL-00121,-1.939942089596643,30.056352864572943,4.982489109039307,0
KGL-00122,-1.9363402574734792,30.072964267627285,9.593088150024414,1
KGL-00123,-1.9481459142548019,30.048774611685353,18.68501853942871,1
KGL-00124,-1.9454910610384164,30.050428916607135,12.423457145690918,1
KGL-00125,-1.9355924633920554,30.056679000425028,14.763121604919434,1
KGL-00126,-1.9436622126311245,30.07023614825006,11.71578598022461,1
KGL-00127,-1.9592980632163959,30.058833593050455,8.493053436279297,1
KGL-00128,-1.9271824486645064,30.063210748533198,7.930532455444336,1
KGL-00129,-1.9542244533161637,30.055314398207763,15.41538143157959,1
KGL-00130,-1.947643988383312,30.052889860782532,21.845829010009766,1
KGL-00131,-1.9448215064574537,30.04996462145704,5.394451141357422,1
KGL-00132,-1.9584626969341494,30.053182797002474,12.96103572845459,1
KGL-00133,-1.93902370764835,30.075811762769884,7.031465530395508,1
KGL-00134,-1.949533722791954,30.057864910882408,5.9197821617126465,0
KGL-00135,-1.9533599179229941,30.051034352175886,18.957305908203125,1
KGL-00136,-1.9605689543874858,30.067817833963613,11.147041320800781,0
KGL-00137,-1.935861807146538,30.06079688282798,9.374245643615723,0
KGL-00138,-1.948150414092383,30.04731642370959,7.207394599914551,1
KGL-00139,-1.9285595614850084,30.067655563992854,7.929098129272461,1
KGL-00140,-1.9290688062159305,30.068707469968327,8.684208869934082,1
KGL-00141,-1.9560026336348408,30.053891576407164,3.929983377456665,0
KGL-00142,-1.958622188692509,30.057325359912898,13.535033226013184,1
KGL-00143,-1.945179516305697,30.050556527827315,13.269237518310547,1
KGL-00144,-1.959183576352165,30.05228033609187,13.262982368469238,0
KGL-00145,-1.9493724682146796,30.046727180744483,15.39309024810791,1
KGL-00146,-1.9394276192223734,30.06480096169543,6.659263610839844,1
KGL-00147,-1.9502825022281554,30.047562041556947,13.885125160217285,1
KGL-00148,-1.9277851194075748,30.05485234606489,4.982484340667725,0
KGL-00149,-1.943849382161106,30.059225076410584,5.233587265014648,0
KGL-00150,-1.9294654954810537,30.059898089268092,12.898040771484375,0
KGL-00151,-1.95485099759944,30.050367549852012,9.463411331176758,1
KGL-00152,-1.9533051413457876,30.069073572069378,9.935585021972656,0
KGL-00153,-1.9327159237734437,30.073720073308923,11.14101791381836,0
KGL-00154,-1.929506593130449,30.055363863353296,6.531767845153809,1
KGL-00155,-1.9340432237950176,30.063622736648757,11.179524421691895,1
KGL-00156,-1.9561268425121712,30.05283619628241,5.919044494628906,1
KGL-00157,-1.930237708950789,30.071803264838152,6.198212623596191,1
KGL-00158,-1.9477795212654654,30.051936366157296,19.780149459838867,1
KGL-00159,-1.961452783127774,30.058232863483784,13.537637710571289,1
KGL-00160,-1.9509048479342233,30.04932758836357,6.659277439117432,1
KGL-00161,-1.940382211382449,30.0658780704139,11.06825065612793,0
KGL-00162,-1.9507712699542175,30.050516810160183,14.76729679107666,1
KGL-00163,-1.937684907614622,30.068908460559072,15.415322303771973,0
KGL-00164,-1.9556154969029578,30.054504129585887,12.807819366455078,1
KGL-00165,-1.9554326759929226,30.051530154317206,8.242268562316895,1
KGL-00166,-1.9553050586193281,30.059574500429715,2.622272253036499,1
KGL-00167,-1.9555690882052763,30.055763627323923,9.935593605041504,1
KGL-00168,-1.9459371632589737,30.049632098749115,10.461015701293945,1
KGL-00169,-1.942022718312151,30.04817070031956,3.929966926574707,0
KGL-00170,-1.9442253792620787,30.050551841384525,12.421650886535645,1
KGL-00171,-1.9299028848298077,30.05227927604649,23.541744232177734,1
KGL-00172,-1.9289412861829889,30.057937895059446,7.930538654327393,1
KGL-00173,-1.9495203823287472,30.069583435062462,4.628328323364258,0
KGL-00174,-1.9373993219094081,30.051657388992,7.930563926696777,0
KGL-00175,-1.95294018872708,30.05629747917557,12.258833885192871,0
KGL-00176,-1.9408105659599206,30.05918960158379,16.82662582397461,1
KGL-00177,-1.933879061997744,30.062685600477053,12.421603202819824,1
KGL-00178,-1.9379246699632764,30.070714373646485,9.198456764221191,1
KGL-00179,-1.9413174530095312,30.074595149380055,12.9595365524292,1
KGL-00180,-1.9616984340392083,30.059062155692974,9.597708702087402,1
KGL-00181,-1.9384230800840623,30.055569459631204,8.239411354064941,0
KGL-00182,-1.9354852950630343,30.058163075386705,3.8186075687408447,0
KGL-00183,-1.9593201971772107,30.059178222568367,4.7212395668029785,1
KGL-00184,-1.959849669130249,30.055050888460542,7.875089645385742,1
KGL-00185,-1.9398564736878847,30.06163401666147,13.443734169006348,0
KGL-00186,-1.9464338507750802,30.07814559371331,6.531800746917725,0
KGL-00187,-1.951806092189577,30.06866638984894,3.704791784286499,0
KGL-00188,-1.9361266669334551,30.060325931434587,15.487635612487793,1
KGL-00189,-1.9453697161994228,30.07227792543505,10.263250350952148,0
KGL-00190,-1.9528605332140156,30.046506836781607,13.771990776062012,0
KGL-00191,-1.9438821528738406,30.046489863610198,11.88496208190918,0
KGL-00192,-1.9510145585421823,30.077286024114493,6.531809329986572,0
KGL-00193,-1.9551096389561342,30.057107987736135,15.084433555603027,1
KGL-00194,-1.953465470192346,30.06307555443716,6.724815845489502,0
